+----------+--------------------+--------------+--------------------+
| pkm_code | Name               | Primary Type | Moves of Same Type |
+----------+--------------------+--------------+--------------------+
|       31 | Drill Man          | poison       |                  1 |
|       34 | Nidnidnidnid Man   | poison       |                  1 |
|       36 | Clef Man           | fairy        |                  1 |
|       38 | Ninet Man          | fire         |                  1 |
|       59 | Legendary Man      | fire         |                  1 |
|       62 | Polpol Man         | water        |                  1 |
|       63 | Psi Man            | psychic      |                  1 |
|      127 | Stag Beetle Man    | bug          |                  1 |
|      132 | Transform Man      | normal       |                  1 |
|      140 | Kab Man            | rock         |                  1 |
|      141 | Kabkab Man         | rock         |                  1 |
|      186 | Frog Man           | water        |                  1 |
|      202 | Patient Man        | psychic      |                  1 |
|      204 | Bagworm Man        | bug          |                  1 |
|      205 | Forretre Man       | bug          |                  1 |
|      207 | Fly Scorpion Man   | ground       |                  1 |
|      235 | Painter Man        | normal       |                  1 |
|      273 | Acorn Man          | grass        |                  1 |
|      283 | Pond Skater Man    | bug          |                  1 |
|      290 | Trainee Man        | bug          |                  1 |
|      292 | Shed Man           | bug          |                  1 |
|      318 | Savage Man         | water        |                  1 |
|      319 | Brutal Man         | water        |                  1 |
|      345 | Sea Lily Man       | rock         |                  1 |
|      346 | Barnacle Man       | rock         |                  1 |
|      360 | Bright Man         | psychic      |                  1 |
|      385 | Wish Man           | steel        |                  1 |
|      410 | Shield Man         | rock         |                  1 |
|      411 | Baba Man           | rock         |                  1 |
|      412 | Burm Man           | bug          |                  1 |
|      413 | Wormworm Man       | bug          |                  1 |
|      433 | Chingl Man         | psychic      |                  1 |
|      472 | Fang Scorpion Man  | ground       |                  1 |
|      512 | Thorn Monkey Man   | grass        |                  1 |
|      514 | Ember Man          | fire         |                  1 |
|      516 | Geyser Man         | water        |                  1 |
|      597 | Thorn Seed Man     | grass        |                  1 |
|       10 | Worm Man           | bug          |                  2 |
|       13 | Hairy Bug Man      | bug          |                  2 |
|       26 | Raich Man          | electric     |                  2 |
|       41 | Bat Man            | poison       |                  2 |
|       42 | Golb Man           | poison       |                  2 |
|       48 | Insect Man         | bug          |                  2 |
|       91 | Clo Man            | water        |                  2 |
|      121 | Mysterious Man     | water        |                  2 |
|      123 | Mantis Man         | bug          |                  2 |
|      142 | Fossil Man         | rock         |                  2 |
|      165 | Five Star Man      | bug          |                  2 |
|      166 | Led Man            | bug          |                  2 |
|      172 | Tiny Mouse Man     | electric     |                  2 |
|      173 | Cleff Man          | fairy        |                  2 |
|      175 | Spike Ball Man     | fairy        |                  2 |
|      193 | Clear Wing Man     | bug          |                  2 |
|      199 | Royal Man          | water        |                  2 |
|      209 | Snubb Man          | fairy        |                  2 |
|      210 | Granb Man          | fairy        |                  2 |
|      212 | Sciz Man           | bug          |                  2 |
|      214 | Single Horn Man    | bug          |                  2 |
|      259 | Mar Man            | water        |                  2 |
|      260 | Swampert Man       | water        |                  2 |
|      265 | Wurmple Man        | bug          |                  2 |
|      270 | Water Weed Man     | water        |                  2 |
|      274 | Wily Man           | grass        |                  2 |
|      278 | Seagull Man        | water        |                  2 |
|      303 | Deceiver Man       | steel        |                  2 |
|      314 | Illum Man          | bug          |                  2 |
|      343 | Clay Doll Man      | ground       |                  2 |
|      344 | Cla Man            | ground       |                  2 |
|      371 | Rock Head Man      | dragon       |                  2 |
|      372 | Endurance Man      | dragon       |                  2 |
|      378 | Iceberg Man        | ice          |                  2 |
|      380 | Eon Man            | dragon       |                  2 |
|      401 | Cricket Man        | bug          |                  2 |
|      408 | Head Butt Man      | rock         |                  2 |
|      409 | Ramp Man           | rock         |                  2 |
|      415 | Tiny Bee Man       | bug          |                  2 |
|      518 | Drowsing Man       | psychic      |                  2 |
|      541 | Leaf-Wrapped Man   | bug          |                  2 |
|      543 | Centipede Man      | bug          |                  2 |
|      544 | Curlipede Man      | bug          |                  2 |
|      558 | Stone Home Man     | bug          |                  2 |
|      598 | Thorn Pod Man      | grass        |                  2 |
|      609 | Luring Man         | ghost        |                  2 |
|      633 | Irate Man          | dark         |                  2 |
|      634 | Zweil Man          | dark         |                  2 |
|      635 | Hydreig Man        | dark         |                  2 |
|      662 | Fletch Man         | fire         |                  2 |
|      664 | Scatterdust Man    | bug          |                  2 |
|      688 | Two-Handed Man     | rock         |                  2 |
|      696 | Royal Heir Man     | rock         |                  2 |
|      698 | Tundra Man         | rock         |                  2 |
|      699 | Aur Man            | rock         |                  2 |
|      704 | Soft Tissue Man    | dragon       |                  2 |
|      705 | Sligg Man          | dragon       |                  2 |
|      707 | Key Ring Man       | steel        |                  2 |
|       15 | Poison Bee Man     | bug          |                  3 |
|       16 | Tiny Bird Man      | normal       |                  3 |
|       17 | Bird Man           | normal       |                  3 |
|       18 | Pidge Man          | normal       |                  3 |
|       21 | Spear Man          | normal       |                  3 |
|       22 | Beak Man           | normal       |                  3 |
|       29 | Poison Pin Man     | poison       |                  3 |
|       30 | Nid Man            | poison       |                  3 |
|       32 | Nidnid Man         | poison       |                  3 |
|       33 | Nidnidnid Man      | poison       |                  3 |
|       35 | Fairy Man          | fairy        |                  3 |
|       79 | Dopey Man          | water        |                  3 |
|      103 | Coconut Man        | grass        |                  3 |
|      104 | Lonely Man         | ground       |                  3 |
|      105 | Bone Keeper Man    | ground       |                  3 |
